@RELATION comment
@ATTRIBUTE comm string
@ATTRIBUTE ratio pos numeric
@ATTRIBUTE ratio neg numeric
@attribute classe {-1,1}
@data
"admit n't remember much not sure one irritated hard focusing name then film flat green rolling much nicer live Obviously one EVER else realized even resembled n't least seen picky n't help watched usually interesting even two intriguing not liven meandering mean self-involved sorry n't more expensive Live Die shot Well so ",36, 63,?
"little more air general general Indian foul English portrayed overweight violent foul-mouthed promiscuous engaging stupid uneducated racist ugly eating poor dim-witted tellingly only turning Indian local redeemed Indian beautiful educated speak many caring loving so insidiously prejudicial astonished funded other English Indian depicted seen few shot so far thought lodge First dirty promiscuous English Second so stupid make do underlying even English evident all drawn so appallingly almost fallen finished feeling angry not focused loving two different coming together Instead convey cultural inevitable almost Indian underscored thinly-veiled other felt hate-filled grievance-based not funded ",36, 63,?
"First expecting Caged same wrong 70s Sure btw quite comical n't strong one seduce try escape 2 just recycled one seduced here anywhere Aside unconvincing unsympathetic flat manage escape actually return free fellow just ended riding as opposed letting scammed ",36, 63,?
"Well n't know begin Obviously made low pleasantly surprised overall second seemed bad go more n't really deserve 3-10 ",36, 63,?
"Very disappointing many missing romantic too short appeared low Hardly enough understand not familiar cold sore upper sure did best hide did n't want halt filming healed up pity Most likely lacked kissing Only one disappointing very great told true 2000 twice as long more romantic much more enjoyable more true ",36, 63,?
"truly brilliant crap such n't even see good common go whizzing past n't stop there so hard back ludicrous behold swinging swung really amazed least n't miss fantastic sheer bloody once finished watching one inept stupid gave 5 make ",36, 63,?
"thought good examined Same different more endless other two bad enough as well watch other all identical ",36, 63,?
"13th officially worse hateful there won even free truly awful trying find least never bored rather pulled again ",36, 63,?
"Gee said wanted become bad decided start one pretty adequate entered find lost uncomprehended did n't see pastel-coloured n't really watched many bad got called bad good probably so unintentionally damn funny First plot-related physical also psychological particular as insane blue tacky too n't even start talk hilarious n't exactly bad involved hot one particular completely pathetic utterly stupid tell actually very surprised see did decent playing succeeded achieving different two convincing mostly very bad sad produced major now bankrupt ",36, 63,?
"oh excuse treasure that descended long One given huge most not decided hide just did n't want finance all badly first long-lost hidden consisting immortal faceless immediately spill all not significant last hovering writing Sort n't ask explain clearly miffed not finding actual yammering frozen just around slack-jawed come little coming freaking not finding interesting just there own solving next steal appalled Various gratingly obvious get used pulling going big oh spilled make nine subzero stop stop trying steal then excruciating not steal so protected high then steal not kidding actual n't deliver So n't know pretty much make short ridiculous only happen also full improbable impractical tagging obvious one three discuss really loudly surrounded played dyspeptic good bad alike huge located never found lead wild trapped there However gone going get oh boy No serious vacu-flush building Good knew more immense all full historyish golden deliver really stupid two chemistry-less get married hard ignore stereotyped very long nice inserted random like more ",36, 63,?
"put entertain leaving go packed n't like watch four old found one funny told too silly nine want kill rather let one say bad saying little ridiculous utterly terrible truly bad stupid pathetically unfunny supposed even laugh even worse worst weird fake as far tell awful n't watched real way better ruining classic comic derivative freaky 2-10 ",36, 63,?
"hated one even worse very tiring unbelievable certain found sighing yawning n't believe actually liked n't very convincing whole felt grand most wanted never stopping n't very convincing stopped paying 30 supposed happy out became total just seen too many enjoy ",36, 63,?
"only kept vomiting seeing just not usually also main n't like not only about as much getting abyssmal bad making then even worse n't waste describing further suffice say poor suffer watching first ",36, 63,?
"Well once said there really n't trying pass negative objective great surely passed much done elsewhere past thirty one interested certainly dissuaded watching express purely subjective however compelled disagree almost other posted here n't watch just leave feeling rather sick angry n't mean sick angry human general profound exactly most adopted fulsome watch ruthless emotional so really managed put universally even broadly relevant then good satisfied however pessimistic rather n't see hours-long empty petty justified excused relevant three main deeply morally unattractive greatest far most seldom more thirty perhaps least least affected pretentious thin one more more clearly realize most likely not even acting absurd un really just reproducing accepted authentic profound along living about ten relentless sustained 100 worked long sardonic particularly shallow worthless despicable post-'68 made however least extremely angry granting least one lengthy clearly expected empathize feel as shared moral get away living flat professing love one sleeping mostly very flat running proposing yet third wish best chosen create n't however do listen even maudlin same double even more despicable shown barging drunk even shared behaving there infantile tantamount most savage heartless intended nothing more other three even halfway decent never admit let alone then praising unflinching even feel flinching consciously opted create such thoroughly repellent filmically observe n't imagine however clearly convinced succeeded convincing somehow representative human general human emotional latter however arrant offensive indeed inherent human general sexual particular only possibly determined sincere serious make such surely cinematic authorial convey going end up hated miserable alone expecting going end disappointed bitter historically interested passed human certain probably unfortunately not restricted just few particularly anti-social n't make believing recorded here general argued ",36, 63,?
"noticed listed surprised n't heard traveled more usual filmed 2000 hit more 2-1-2 later first all not well Now n't act sour more enough make-up see even showed watching dry curious checked made whopping 600 just 400 latter 2002 Overall doubt cover pretty benign even usually interesting as dull several all pieced together individually too great overall even worse considerable even worked less usual so one made barely tolerable filming understandably somewhat laconic here compared usual three superb totally diverse portrayed realized below standard long confirm One even here one better typical ",36, 63,?
"else left say read here most right However one even went so far as call tainted basically made Open please very lowest come most terrifying much spent make made therefore get ready 2 biblical new pickup never started ",36, 63,?
"so very badly written never made 11 old write better then only did n't suck only funny believable one give one up there lame 2 1 being actually thought good serious Most n't even so did ",36, 63,?
"just watched 15 ago still just watched about as realistic flash online murdered 2 investigate local also investigating most oogling as realistic real only one about 15 banging main seemingly apparent n't even explain quite frankly n't make final treated 3 4 Honestly ran then final same eyed away got bad really used 80 else more satisfied playing repeatedly 80 much more entertaining ",36, 63,?
"appalling all about good Yes arty yes foreign not enough boring disjointed not so slickly made intrinsically uninteresting n't enough feel based real then very very sorry very violent quite ostentatious gratuitous Not very much either oh yes move ",36, 63,?
"one really good threatened so unexpected bizarre rather funny same one easy root interesting worth two brave bold only other present conflicting all true not clearly fit specific n't think Supposedly such broad aforementioned spraying taken seriously other certainly not abundant serious crammed successfully mix together Unfortunately n't find Instead one just other much leaving two different hanging also running two long extremely drawn big resolved only n't resolved quickly longer other going probably twenty meandering particularly hard endure beginning early making frustrating Perhaps too hard not right felt probably find meaningful see strong unable do so thus recommend ",36, 63,?
"enter second better understand dealing here one really stupid bad letting loose 50 000 shooting good shouting then finally get good face instead killing instead wasting caused SO instead just walking bad good holding anyway Oh HERE front first printed So did win fast stupid cool shifty eyed tough completely literally single proposing damn last lethal never made whining spewing little cocky only bright crazy doing best pretty entertaining Oh so involving fictional special called not making supposed obvious little journalistic super foul afoot involving 2 undercover scurrying looking gaining unravel even bigger sinister thought blah blah halfassed pacing slow off horrible acting extremely uninspired jumped everywhere going anywhere put about Everyone just did n't stupid becoming harder write left ended No lie Basically do waste ",36, 63,?
"Somewhere out there worst gay made One overlong sitting staring pensively unbearably long eating stuck one depressed get drunk then break eight then fast forward rewind long pensive one looking just sitting doing gimmicky making maybe so bad fill long wasted otherwise rely about 14 n't get wrong about 30th gay watched past 6 most very formulmatic predictable boring one really terrible best so far Beautiful watched very first lingered lingered thought Oh no going creative gave watched then ended tossed Sorry did n't like did sorry ",36, 63,?
"difficult sit horrible heretical Apparently cast tall skinny skull-like made good Not only lanky lackadaisical hard watch uncomfortable stereotypical wearing Not only but gray apparently not find matching black shiny as made made looked very new artificial occasionally wore traditional did not look other painful watch Even full not carry cadaverous grinning very bad British painful see listen say overacting nasal then as British started watching thought featuring thought cast sadly made better Not only never stop talking awfully artificial British nasal much friendly always smiling so polite courteous teaching instead Perhaps trying make better too gentler flatter easily worst ever seen including previous worst Overall awful reminded typical over-acted suspiciously glared killed explaining other entire Even there less not even compare very well awful probably obvious ever wrote very little especially smirking fake not help only minor bright not ham up compared often interviewing conversational much more natural credible Unfortunately amateurish visual glaring making other show suspicious not seen modern ",36, 63,?
"futuristic one trusted very dark one not make feel good about taking about human self-centred very good done well portraying dark contrasting bright general However portraying very slow did not seem quite get seemed spend too much clever rather telling ",36, 63,?
"deceptive very small hidden tricked renting started really well pulled REALLY liked 1-3 3-4 started throwing not set made first not written tell ended re-watching thinking missed reached last 1-5 made said annoying listen turned did fast forward n't waste Beware labeled practicing ",36, 63,?
"Well plastic commenting n't lived seen all obvious streaming suddenly bleed back secret melting gelatinous berserk chunky run fake Apparently stronger about much hopelessly purile adle-brained Then dopey many bad cover killing melting old melting one terrible moan helplessly about 10 melting melting melting slumming supposed here just poorly so dark muddled very difficult making not help cut one 8P Did n't ",36, 63,?
"sat down watch very low no near low honestly not tell watching completely missed nonexistent acting horrendous managed watch approximately 30 40 turned promptly begged video take back do recommend purposely trying watch worst honestly n't know lasted more moreover not understand willing considering not only very uninteresting also famous cast not honestly possibly worst ever made certainly worst ever sit ",36, 63,?
"struggling played evidently struggling bring memorable shallow managing display only described bland leading all show basic left shrugging feeling past three really happened One bright stand seemingly averagely talented semi-decent bringing backward re-create working higher seen watching ",36, 63,?
"saw last say really hated 10 aged 15 do 11 read also Aside based terrible also hated 1984 most disturbing ever seen one most deranged ever live sorry loved unfortunately did not well portrayed whole set took not only sure many many other thoroughly enjoyed ",36, 63,?
"first about 5 due acting give better subjective objective one giving one then used increase such just untraceable systematic propagandistic promoting interesting IPS trying preferentiate fighting very not labeling torrent intended remind such transfer literally attempting creating sexual frustrated whole especially coming most past 2 most viewed best try influence whole such depicted 2 morally ethical new much needed no mistake meant high-quality please better made generally first 10 really frightful CLEARLLY suffering sexual black very disturbing not outright sure least real probably get see second even more extreme realized very dangerous many seen see never down regarding self typically extreme CRIMINAL unfortunately did likely happen again sometime somewhere else indirectly as well become familiar know very well not judged let alone such fanatical here many healthy not apparently obsessed sexual not learned abundant recent involving young long American see extreme not even see sexual american raise frustrate drive underground developing UNhealthy sexual MUTUAL better then rightous new German work great comparing 2 distinct apart very same here probably appreciate well portraying very disappointed especially recent really about more realistic real well then just only paid play political social untraceable 2 same hidden just similar here stay clear own kill faster then 0 00001 thinking negative here about MY particular untraceable actually so likely similar did nothing sweeter then propagandistic shooting not simply best confuse even more then common such AT defined even dumb one one just good deeply not so well done add subliminal ",36, 63,?
"extra-long classic completely capture original quite horribly American cast British Hollywood-ise changing fit more comfortably accepted predictable even not familiar plagued extremely bad acting terribly disappointing terrible already quite bad based ",36, 63,?
"went thinking neat same as Remember however came feeling just attended only missing Actually probably get more poor least televangelist rather entirely too predictable long-enough laid entire first 15 ",36, 63,?
"not rock said found really boring silly about high really bad heavy not making one last played actually make 1st much less potent sure secret hidden also so really bad return bring first not all rather Special tormented popular learn most important high cool suddenly invite Especially surprised such Special kept waiting show teach So back instead using kill bully made much more out protect bully sensitive Thank did not follow actually played very unleash kill mean put pronto about going trying kill horrible idolized not one popular not want hurt more appropriate just watching went high late 80s did little big stay just listen ",36, 63,?
"Personally able appreciate really good also strange somewhat enjoy even most just sit there watch horrible kill only remember actually shutting absolutely going back finish so contrived predictable calling next easily usually not very good horrible seen better acting middle Even bad all wrong forgot funny ",36, 63,?
"seen most not classic always enjoyed there comical stupidly even watching again new bring back two new however miserably various One out place still early 20th however portrayed 90 setting former brought back however also miserably come classic very well worst ever seen pulled locked away forever real surly bad ",36, 63,?
"off bad three acting simpering junior high sitting giggling endless one best then worse falling young used 14 English not only destroyed then basically unwatchable 3 started drinking more smoking more blah blah pathetic symbolize ",36, 63,?
"made main obnoxious n't least n't stand dumb offer worst surface last 10 poorly written executed as bad not dislike more terrible canceled Even bad even worse as written 15 based hot really just arrogant as well away far fast ",36, 63,?
"4- call about besieged black magic evil killing using cruel torturous taking virgin studying portraying incredibly rude interested perhaps purchasing along always ogling other much younger pregnant just bored probably wanting watch instead starring rubbish treated obviously getting wet help killed wearing lip-stick extra thick brewing guided invisible stuck decrepit dire Most meeting grisly carried red perhaps tortured dressed raggedy crummy One sown hung upside down roasted One poor tortured harsh wrapped tightly found hanging penetrating One slowly suffocating squirting One crucified hammered hung upside down open pregnant possessed speaking One raped demonic diseased hellish nearby gleefully cheering mostly dull really see lowest better Almost unbearable building cheap laughable Sure okay most run get see pregnant exactly like bad jumping three Oh reflected often inanimate see little jumbo obviously used later visit little not scared just too bored show much less Need more one real ",36, 63,?
"n't believe hit so low reduced making 4th 5th secondary watched expecting see usually reduced using single take wrong unbelievable even read left wondering even picked as only doing n't show repeat other pathetic chopped shaky seemed deteriorated showing assassinated steadier cleaner honest tell not waste seeing not up read one said 12 million paid 5 still came concur direct DVD conscientious play ",36, 63,?
"DARK low American somehow managed win 2 involve 2 separate First slashing bathing Second young technical found slashed grieving move isolated later surrounding haunted 2 separate eventually converge reasonably expect However haphazard perhaps only resolved multiple Unfortunately simply not enticing enough attract most watching more once Just go wrong wrong fast low used justify found here wrong pass involved simply too poor uninteresting as pointed other badly written too many giving interesting creating character-driven adding uninspired such evident Unfortunately did not pay close so effectively unknown created constant bizarre walking central faced tongue-in-cheek played so straight n't help convinced captivated foreboding set psychological very much used made brave avoid also successfully avoided using well intended Unfortunately likely make supposed n't too bad given low just defied scratching quite few n't give ending even wanted simply n't understand deduce different pointed sit Thankfully However most probably switch long only 2 positive find successful single one normally expect find 2 supernatural psychological relating do well stick such seen too many established see obscure R-rated not greatest ever made surely better few genuine avoid ",36, 63,?
"spend few dedicated entirely unfortunately dealt young now caught so many else do explain only useful else including too reliant superficial n't even semi-intelligent poor so stuck quickly forgotten Here old even Too bad already got whole more even did better even presented imagined just awful n't even rent ",36, 63,?
"Not sure advertised wild quirky filled not much entertain amuse touted here as mannered seeming routine confusing irritating playing simply not carry best not enough endorse boring unsavory disappeared quickly good found distasteful just utilized worst some embarrassing most unsettling found whole n't waste ",36, 63,?
"saw hearing just sucking present definitely slowest ever seen numerous pointless ridiculously long decent two half other included ridiculously awful cast pretty much plot less lame abstract off only stirred vulgar came nowhere as just add Sorry so harsh really precious good not worthy ",36, 63,?
"Saw before last did n't really know gave ended whatever maybe least convoluted Sure funny black felt very real not one connect failed Sure somewhat interesting very subversive grand let see already n't mined whole fake horrible visual supposed intentional tell so else no laughing least n't want obviously put get completely unnoticed ",36, 63,?
"Good Effective Good Top Well detailed Bad Horrible even worse video few ago Flawed giant one one really even even cast there do trivial impregnate Ugly Awful many unnecessary too many not fully realized almost laughable not needed supposed apparently just uninteresting boring watch redeeming not one entire obvious one weak ill-conceived screen writing not become immortal big bad even decipher main devoting never fully one never cardboard talk pretty much do explore fine First pacing slow slow still watching pay boring flat Even not interesting short-lived sometimes unnecessary Overall Not worth corny not save nice ",36, 63,?
"infamous Australian stood English aristocratic united lower change forever lower around 70 casually skimmed Indeed quite few so called tad dubious aroused claimed based ever romanticized seen there n't going historical just one many dubious harsh sporadically brutal Unfortunately nothing more overblown real historical alarming alarming never plodded so slowly two pure brought back awful all ago Simply put long getting possibly more bearable good sure n't However looking play worst Oirish then gonna disappointed stupidest obvious including similar flicking suffering huge as fill even more possibly look arty showing pointless once native shown here allow used one try make actually more sorry massacred turgid emotionless historical gone straight n't even one good say Even usually fantastic embarrassed here one only 2 left wishing blow ",36, 63,?
"easily worst ever bring pretty close worst ever made measurably worse even revolting Happened here thought then marching bad not topped usually random other innocent enough sit one however called Little playing Here essentially free-lance reckless abducted depending speaking Clearly selected mimic watched thought late 1960 playing female convenient then doped so long even telling not know go back work beaten deserved making go hateful Rather arrested out two repay back spring stealing one working two upstairs working snobby supposed too bad n't least funny laugh 100th saw run silly falling other dreadfully miscast let face even given advanced 1968 made far more believable uninteresting unfunny kept waiting happen make never did approximately three comprised listen painful inflicted funny five second apparently disassembled all busted only entire mod salvage high-heaven avoided Viewing create unnatural grave bodily ",36, 63,?
"n't know doing defending Dutch Belgian get more then terrible probably worst ever made Dutch-speaking Dutch create very own clearly based mainstrain American such 13th aimed really high fell really low became embarrassing involved therefore true here almost impossible hunt original only showed special exactly 5 tell even create then gruesome yet very hilarious cheap make entire abominable even few respected involved leading male played as well most famous loved beloved many young never ever starred though else trying convince never happened ",36, 63,?
"dreary hopelessly predictable set most unpleasant setting lower as amateurish seen 101 great ",36, 63,?
"Wow just saw one scary rated n't really make scary worth watching Also other n't think so called low-budget did n't did n't make much basically goofy looking coming killing never doing bloody spinning killed good enough feebly kill n't much larger very bad Then military did make military pathetic hard kill n't do much roar occasionally second slightly interesting yet total playing attract hard understand due poor Also did carry main so long did n't go trying make senseless ",36, 63,?
"normally not take make few read few see However warn consider wasting just finished watching only five ago quite simply one worst ever seen horrible nonexistent best even low great not one There only saved slashing grand three effective reasonably disturbing happens--especially simply not enough just too long minimal too heavy consequently almost impossible watch put all spare three teenage irresponsibly knowingly go driving isolated 20 previously abducted murdered down taken old boring inhabited three crazy psychotic three eventually murdered one one boring slow-paced said only watching even once n't buy rent just n't fooled misleading Save ",36, 63,?
"Okay heard little so came wanted watch do collective watched decided move closest saw coming seen already decided laugh proclaiming dumbest ever seen n't scary young typical turn pretty average few 1 not even talking weird biting talking whole slow kicking 2 liked young appalled just went ahead molested illegal 3 just so pointlessly writing 4 deputy 5 just instantly pulled apart little left Just LAUGHING laughing Living 2 n't know supposed laughing here ",36, 63,?
"saw always remember first getting ripped horrible good great found later special entire 4 even n't relating never actually shown as far clearly making cheap designed ended found bad bad bad ",36, 63,?
"horrible thought Acting Very bad not act other n't much better okay more developed great failed pretty cool Not very original n't see really stupid 1-10 ",36, 63,?
"modeling n't pronounce real correctly so then added similar never acted before so much gave acting obviously not useful dubbed thank set full good never meant taken seriously write according inside 1 10 acting ",36, 63,?
"n't expecting much little turned plausible modern nice soapy melodramatic intriguing decided throw involved simpering so watered amazing call unlikeable mostly unsympathetic frequently cruel very certain not conniving stripped blind turned scheming awful psychologically most leaving trite one managed deliver straight actual mean read early 90 featured saying turned intensely dark Gothic sudsy valid further using basic deliver chipper cavorting really bad ",36, 63,?
"mind right running same lots more chuckle snort baby-faced considerable acrobatic not acting whatsoever few spooky mostly mildly impressive martial given give much more n't feel as guilty laughing ",36, 63,?
"n't believe worst ever seen laughed probably because stupid paid see again n't so horrible made acting so bad n't even tell trying terrible ",36, 63,?
"Surely ever done poorly count coming back Well awful least count saved few smarmy added murmur done decent loony just boringly portable got worst cinematic Most crude all bathed often misfocused red Even bare hairy used bad rib-thin make hear probably agree completely ",36, 63,?
"vote n't watch got swore never happen again civic help stay away Go read act seeing first One even using same as good Not even close 2nd better first 3rd better Not seen know using same making fine n't try market ",36, 63,?
"give moviegoing public so wisely choose spend ignored deeply hurt However see n't made haphazardly three ago all said all avoid known Then took see turned colorful funny almost hypnotic treat So unleashed big big thought same old wrong five whole thought clear clever charming top Then showed many biggest woeful miscasting saved inspired destroyed very funny applied comic made truly funny really just do same here just more not funny just painful Not helped charming repulsive bodily poorly timed insultingly stunted hip most disheartening cinematic ever much went so vile relatively unscathed just wonderful get more show far better avoid currently far better ",36, 63,?
"INCLUDED creative n't running high conceived basic run-of-the-mill low-budget sure creative just anyways really basic new dating blah Well all not Now killed one one bad n't really care though retrospect first 10 so make never explained say pad deleted not sure want see more apparently thought clamoring more want waste looking expecting bad delivered n't bad good just awful least favorite supposed funny amusing just coming funniest hilariously unconvincing barely intricate creative done change realize made Otherwise do n't waste ",36, 63,?
"worst ever made more animated ready made only good ended 50 Jurassic 1 49 9 not waste watching regret know Well sucked sucked looked mean ketchup tried blow there all stand 5 running straight 100 away Actually HIT acting horrible too actually good just go ruin ",36, 63,?
"glad see most other here n't think much big else recommend save ogling few pretty do thousand unlikable self-centered chain-smoking national all like most n't stand so fake laughable southern racist right Liberal 101 depressing ",36, 63,?
"first holding white blowing pretentious all downhill there lead basically reach reconstruct talk overlooked conceived first low forgivable interesting even somewhat integral wasted ",36, 63,?
"Written acted sincere produced dull hard watch Not worst ever least 9 usually real two recommend only hardcore hardcore n't believe free sourced poor here added mostly reach 10-line minimum ",36, 63,?
"there titled Make not make excellent n't one found 100 most surprising actually stretched 100 various presented done most much amazing so many made all basically same tell doing talented classy deserved better one final ",36, 63,?
"released straight DVD here redeeming so ever acting awful sucked thought good do follow far superior 80s bad good good other main not recommend original better ",36, 63,?
"saw first about o'clock really perfect one never EVER seen actually more predictable drenched see thrilling n't watch lose live halfway However good watch even bought 3DVD enjoyable especially struck very expensive make copy-pasted old amazed did n't put slightest making real as far remember nowhere yet single taken away probably slow beautifully see long Korean smashed good only then understand mad enough spend 6 99 ",36, 63,?
"boring next general small tell bad there winning few decent wonder possessed decide do awful dramatically major dramatic Even impossible follow mediocre well seem really dated go bad least so bad funny just Avoid lulled sleep ",36, 63,?
"1962 orginal very good commend fine fine however most formulaic embarrassingly overacted shakespearean looking superb dedicated giving all however focus sorely lacking last five serviceable more always watch even few better not same great yet again sometimes good first doing attacked decent full-fledged outwardly calm unnerving worst bare-handed hundred high there no speed dead aforementioned rambling watch again yet tempted watch four seeing ",36, 63,?
"OK third See only See pretty smart hide bad maybe 16 forward special then find dead big failing hear pretty creepy then black forward now one found slashed See just simple 1 cause there 2 dead ten one giant there did there 3 kill Sadly stupid blond told capture one alive 4 5 now pacific 6 did n't know strange 7 good good 5-10 ",36, 63,?
"minor many huge So saw beautiful hanging coming 2 rising fresh possibly go wrong neither funny really hard exciting put black constantly making racist got n't think so totally out First probably said many sympathetic killed stomach gonna kill 50 4 next walking again not Then best actually bored utter stupid seeing went Then only one left disappointing say least made full only one very long one caught irritatingly hectic really following So romantic decide just avoid horrible give 3 10 generous ",36, 63,?
"say retarded so ever complete just marking 10 most pathetic great then did canceled 6 measly exactly seek help do know funny just so stupid seriously find funny poke stereo other not funny funny stupid actually sorry doese n't get give 20 back ",36, 63,?
"As soon intelligent say n't fall known new own Neurological single closest ever get actually suffering speechless numb open so most strange wishing go blind deaf small only just finished ",36, 63,?
"always wanted see cheesy sure Incredible really n't acting entertainingly bad contained classic bad special looked sneezed all lead loved Unfortunately really draggy decided watch last doing return boring Nevertheless bad enjoy dramatic stellar fair poor deliver amazingly inept straight tracking find radioactive Just little wandering trying find killing armed only brave Unfortunately big so glad cleared up making rather fun only 10 long unfortunately Incredible just making sticky eating more truly stoned probably love just n't lead really resemble ",36, 63,?
"Yes worse out there Most made even rate no more two poor serious featuring abused protective wussy show n't need protect superfluouse not outsmarted contained rather just dropping overboard anyway demonstrating still childish almost getting killed always amazed generally high still huge untapped challenged done ",36, 63,?
"read seeing enormously disappointed wooden blatant rather gave shallow condensing short lost many key comprehendable progressional thus resulting somewhat jumpy little no build rather abrupt unfounded two such infrequent help imagine superficial given quirky poor scripting few portrayed very astutely namely however overall Given better scripting perhaps more successful See 1970 outstanding ",36, 63,?
"rent titled 3000 good getting sold promising according movie-store all cavorting post-apocalyptic barren wreaking Let wacky low least such Now occasional terrible reading 3000 probably too said rated solid 1 awful completely hated one most legitimately dreadful ever seen acting editing worthy surely low given marvelous really good bad several affectionately few unfamiliar n't hard fast killed particularly gruesome creative ridiculous 3000 also fair provided great aptly titled hapless incidentally also provide most hoping big again essentially zero however ask Shakespearean oddly all say terrific bad however looking truly entertaining bad 3000 disappoint somewhat limited silly outdated special bad simply not enough justify full owing principally so forced follow protracted boring long hiking pretty good awful hey 2000 ",36, 63,?
"Not exactly straight-to-DVD one only encountered due putting few relatively open minded quite sat back ready enjoy unclear eventually blah tedious n't rely hugely stuff silly predictable entirely stupid not important annoy pure clche-ridden narrative entirely unfounded unachieving sentimental cinematic thin-skinned stuffed rotten probably drawing Even rather poor take well established single large two laughworthy rectify never conclude attacking one one foolish Even repetitive stupid broken kicked steady see again fully straight DVD doing absolutely nothing new seen again not even particularly well ",36, 63,?
"great one deaf dumb blind meaning visual interesting subject Aside completely inauthentic implicit absolutely No so many going starring great other corrosive adolescent recognizable human just n't There too many real too little waste such ",36, 63,?
"Right away ridiculous Not did n't redeeming best beautiful not living know n't beautiful found knew perhaps n't suppress English excuse saying southern Subverting one easier Sure phony n't get past not n't meth so thought necessary pretend One other always always cocking automatic seemed other sound signifying loaded ready fire already chambered unnecessary WAY top hey targeted certain too bad act lame ",36, 63,?
"saw great simply put very very bad no not usual so bad actually entertaining just plain bad terrible past criminal apparently n't get awful 900 steal also stealing just two completely incomprehensible awful really never shot slow taking supposed not sure done ",36, 63,?
"led Unfortunately did n't rent bought most disturbing not so disturbing known only set show human kidding gave new good following n't too bad catch disgruntled rate 1-10 only got 1 so-so there much better covering one ",36, 63,?
"talented young reputable Obviously guided not sat surrounded left find sneak wondering thought appeal poorly written only put 1 2 obviously did n't care ",36, 63,?
"sound crazy even remembered as being n't think ever saw maybe very clearly kinda even red dark turned red second looking spun crashed big out then proceeded drive really else too not Maybe still crazy hoping not ",36, 63,?
"Unfortunately agree written short sound editing else very very good seem surprising first told technical working consisted expected usual not really tell n't get supernatural here pure Instead shown simply learning considering peculiar short hard give enough used worst possible give otherwise never glean n't think just kooky old going looking make worse also happening shown just listening say short make good n't stand own impossible say left obviously technical not incredible good entertain amuse very least ",36, 63,?
"very poor watched first thought old 1956 really found true shocked did n't know bad made so recently really all wanted say good n't miss simply read wrote really say already said n't believe possibly received many gave One awful felt very badly made So long ",36, 63,?
"maybe one most boring 2000 seen Especially create suddenly Also such martial not treated necessary never take alone not allow such not either also play trying take only more Naturally made only enjoy count whole ludicrous furthermore believed true dangerously close other make good possible here ",36, 63,?
"initial 20 so watching really long took interesting n't think seen However soon stunned huge patently ridiculous n't think hold patently ridiculous often good However blatant really going funny also shambolic highest failed potentially pure stumbled unnerving sum even one two decent finished barely see original total piled Add just vaporising as opposed doing slashing such giant throbbing good left rot laugh not then go ahead check ",36, 63,?
"Yet again one most misunderstood twisted understand esoteric frightening destroy inner terrify given depicted just absurd wrathful wrathful inner other suffice also wrathful away dance bring dark as well physical well cruel destructive maintain new mundane spiritual very outrageous just take beloved use cheap make low-budget talentless take beloved portray chop only horrific attached other very clear wrote very serious self-deluding serious see so horrible terrible away enchanting beautiful young so enchanting behold entire ancient not trifled just endless not take wrathful involved using own such actually very positive other such twist exaggerate misunderstood Western comprehend totally ridiculous clear breathe believe caring compassionate shed beautiful happy wrathful sometimes protect outside Many shown ",36, 63,?
"Oh man scared first watched SIXTEEN creepy animated scary stop talking now ",36, 63,?
"Very bad Very very bad make in least sniff set hard criticize actually got made However oh dear n't aspire more crude honorable try make conform more fair more entertaining not much So n't try just let throw 1 n't able see 2 hire three sound sure least operate 3 lead scarier really 4 There talented most hire really cheap Get frame 5 Just use other cool n't mean do two 6 getting take next get tops see taken 7 help tell set least editing sell suddenly appearing not scary sloppy good Not acting bad pretty good liked started fighting back neat unfortunately thrown better too Next now all involve aspire better least ",36, 63,?
"fooled renting got major compared made rewarded other 1 out 10 now n't go one bad cinematic actually turned 45 very rarely do just too plain boring stupid unnecessary n't believe actually reward 10 out 10 did just very first ever saw so got compare still virgin all ever wrong least stay clear one Even simple n't require choose else regret sure ",36, 63,?
"eager see huge got 1-1-2 seemed enjoyable called dumped enlist get take back editing acting found delightful other did disappointing interesting flat supporting reminded n't just did n't seem right own ",36, 63,?
"main still second-billed watching see vaguely reptilian prime dirt-poor formerly British now hosting Russian play Soviet other easy very friendly all lazy British anxious show n't forgotten positive here considered understated argue considered non-existent decent only two sympathetically doltish larky quickly slow slow lame low one find milked actually labored airsick quite low still too high exist either so pathetic apart apparently still drawn allowing lame aural thick-accented many never quite even taken instead dull as straight written Normally make likely trapped thick greasy only far more happily two other made same here serving Usually Boulting combine wicked social anything-goes here only fey mangled-English like Chinese generally ragged superior far more deserve weakest most protracted young one played ravishing one apparently never addressed lamely staged surprise one final seem nail literally Apparently see same strictly ",36, 63,?
"watched few say low not do real very poor limited acting watched now probably think crazy skinny running only say much better very much recommend German see brilliant ",36, 63,?
"honestly surprised so bad hardly believe seeing just few wandering getting killed giving real seemed many just began own coming nowhere pounding watching kept asking going acting high stiff wooden reading comprehending delivering made even more obvious horrible sound sounded recorded open constantly taking obvious hit looking almost robotic listless whisked implausible confusing often even here now there happening now happening little watching Definitely not worth nine though ",36, 63,?
"not acknowledge consistently one worst horrible n't seem sure take action-comedy just along talented dedicated wasted making prior involving spent pounding already own acting steadily mid such Happy dismal affable won powerful seen dating back mid top seen countless major agreed seen ",36, 63,?
